N	3gram	Berdyaev_V	Freidism
1	в том что	2	9
2	не могут быть	1	4
3	бы то ни	1	3
4	так и в	1	3
5	не в силах	2	3
6	хотя бы и	1	2
7	в конце концов	1	2
8	все тот же	2	2
9	том что он	2	2
10	к тому что	3	2
11	то что мы	3	2
12	и т д	2	1
13	того что он	1	1
14	и теперь еще	1	1
15	в вопросе о	2	1
16	так ли это?	1	1
17	но прежде всего	1	1
18	него не существует	1	1
19	природы в человеке	1	1
20	но и в	2	1
21	по крайней мере	1	1
22	по сравнению с	1	1
23	что бы то	1	1
24	и в вопросе	1	1
25	для него не	1	1
26	в жизни и	1	1
27	как бы в	1	1
28	и не было	1	1
29	во что бы	1	1
30	тому что все	1	1
31	сравнению с ними	1	1
32	что он был	1	1
33	а между тем	2	1
34	потому что оно	1	1
35	и никогда не	1	1
36	есть прежде всего	1	1
37	связать себя с	1	1
38	и марксизм в	1	1
39	идти по пути	1	1
40	личности и ее	1	1
41	но все же	1	1
42	на этом пути	1	1
43	в ней дана	1	1
44	раз и навсегда	1	1
45	то ни стало	1	1
