N	2gram	Propp_Morf	OGranits
1	и в	17	13
2	и его	3	12
3	прежде всего	14	9
4	может быть	61	8
5	и не	16	8
6	не может	19	8
7	и пр	45	7
8	в его	1	7
9	и их	3	7
10	точки зрения	7	7
11	таким образом	26	6
12	не только	8	6
13	мы должны	3	6
14	только в	3	6
15	то что	10	6
16	как бы	6	6
17	хотя бы	5	5
18	с точки	6	5
19	но ведь	1	5
20	все же	9	5
21	и наконец	1	5
22	в каждом	1	4
23	мы можем	5	4
24	не является	4	4
25	только и	1	4
26	мы не	8	4
27	то же	10	4
28	еще и	1	4
29	было бы	5	4
30	все это	2	4
31	материала в	1	4
32	в своей	1	4
33	в выборе	1	4
34	тех пор	1	4
35	но мы	3	4
36	но в	4	4
37	вопроса о	3	4
38	г в	1	3
39	с этим	14	3
40	что в	10	3
41	и то	1	3
42	связана с	3	3
43	материала и	1	3
44	так и	10	3
45	не как	1	3
46	говорить о	4	3
47	одно и	1	3
48	в одном	2	3
49	не столько	1	3
50	отношению к	7	3
51	по отношению	7	3
52	превращается в	2	3
53	поставить вопрос	2	3
54	в пределах	3	3
55	в их	1	3
56	при анализе	1	3
57	в ее	1	3
58	здесь мы	3	3
59	самом деле	4	3
60	не в	3	3
61	в которой	3	3
62	что же	2	3
63	и все	1	3
64	но для	3	3
65	в себе	1	3
66	так как	20	3
67	все вопросы	1	3
68	вряд ли	2	3
69	но и	9	3
70	и для	4	3
71	как и	4	3
72	ничего общего	1	3
73	точку зрения	1	3
74	в области	1	2
75	во всем	1	2
76	и к	4	2
77	что они	5	2
78	того или	1	2
79	может иметь	1	2
80	функцию в	1	2
81	форм и	1	2
82	мы видим	15	2
83	иное как	2	2
84	в данном	2	2
85	мы уже	4	2
86	и этот	2	2
87	в своих	2	2
88	в этом	18	2
89	что иное	2	2
90	случае и	1	2
91	данном случае	2	2
92	героя и	3	2
93	он только	1	2
94	с одной	2	2
95	мог бы	1	2
96	в течение	1	2
97	которое может	2	2
98	входит в	4	2
99	и при	3	2
100	одной стороны	2	2
101	роль в	2	2
102	в другом	2	2
103	мы считаем	1	2
104	при этом	1	2
105	несмотря на	4	2
106	между тем	5	2
107	в материал	1	2
108	в полном	1	2
109	для него	2	2
110	и задача	1	2
111	в этот	1	2
112	и тем	3	2
113	с помощью	1	2
114	и может	1	2
115	смысле слова	4	2
116	те же	1	2
117	связанные с	1	2
118	ее в	3	2
119	в том	10	2
120	выбор и	1	2
121	с этой	3	2
122	что эта	2	2
123	мы получим	2	2
124	в тех	8	2
125	но такое	2	2
126	чем же	1	2
127	конечно в	1	2
128	вслед за	5	2
129	другой стороны	5	2
130	не что	2	2
131	но так	2	2
132	не на	2	2
133	так же	4	2
134	думать что	1	2
135	в них	1	2
136	самого начала	1	2
137	а в	8	2
138	в г	1	2
139	если бы	3	2
140	мы понимаем	1	2
141	не сумеем	2	2
142	а также	7	2
143	еще в	1	2
144	с самого	1	2
145	тем что	4	2
146	она является	1	2
147	и др	12	2
148	могут быть	21	2
149	вовсе не	6	2
150	между собою	2	2
151	учение о	5	2
152	в связи	10	2
153	во всей	1	2
154	с ними	1	2
155	материал в	1	2
156	все эти	5	2
157	с другой	9	2
158	как в	5	2
159	не менее	7	2
160	явлений и	1	2
161	не имеет	2	2
162	там где	5	2
163	том что	7	2
164	а не	11	2
165	всей своей	1	2
166	в чем	2	2
167	в целом	5	2
168	и ее	5	2
169	тот же	1	2
170	собственно говоря	1	2
171	к тому	5	2
172	есть не	1	2
173	кажется что	1	2
174	этот материал	1	2
175	бы в	2	2
176	в особенности	1	1
177	его к	1	1
178	в некоторых	4	1
179	всего в	1	1
180	реакция может	1	1
181	образом лишь	2	1
182	как к	1	1
183	этого и	1	1
184	изучения но	1	1
185	и наоборот	4	1
186	переходим к	1	1
187	но такой	1	1
188	обычно в	2	1
189	функции хотя	1	1
190	не зная	1	1
191	еще тем	1	1
192	для всех	1	1
193	вне этой	1	1
194	же представляет	1	1
195	один из	7	1
196	как ни	1	1
197	можно установить	2	1
198	можно говорить	1	1
199	и здесь	7	1
200	образом мы	7	1
201	всегда связана	1	1
202	может входить	1	1
203	то это	5	1
204	отличие от	1	1
205	одном случае	1	1
206	в последнем	3	1
207	вопрос о	10	1
208	как же	3	1
209	что мы	2	1
210	на этом	4	1
211	они не	3	1
212	ситуацию она	1	1
213	пр с	1	1
214	на нем	3	1
215	пр на	1	1
216	только что	3	1
217	само собой	1	1
218	которые не	1	1
219	указать на	1	1
220	должно быть	1	1
221	того как	2	1
222	если он	2	1
223	и уж	1	1
224	в самых	2	1
225	может возникнуть	1	1
226	за исключением	1	1
227	если наконец	1	1
228	и вот	1	1
229	это все	1	1
230	более или	2	1
231	к разрешению	1	1
232	может идти	1	1
233	потому что	7	1
234	на первом	1	1
235	должны быть	2	1
236	того чтобы	4	1
237	бы по	1	1
238	или иных	1	1
239	можно лишь	2	1
240	бы мы	1	1
241	лиц а	1	1
242	и более	2	1
243	мы имеем	19	1
244	и у	3	1
245	не должно	1	1
246	также и	6	1
247	ту же	2	1
248	это и	3	1
249	для того	3	1
250	момента в	1	1
251	совсем не	3	1
252	тому как	5	1
253	тому что	5	1
254	и дает	2	1
255	быть не	1	1
256	представляет собою	8	1
257	нашей работе	1	1
258	что всякий	1	1
259	мы дали	1	1
260	его и	2	1
261	ними и	1	1
262	не всегда	10	1
263	он называет	1	1
264	или же	7	1
265	к истории	1	1
266	и тогда	3	1
267	говорить не	1	1
268	этот момент	5	1
269	этом отношении	2	1
270	тем как	1	1
271	уже говорить	1	1
272	две формы	1	1
273	связанное с	1	1
274	исторических разысканий	1	1
275	что при	3	1
276	точно и	1	1
277	из наиболее	1	1
278	и неустойчивым	1	1
279	тем не	7	1
280	здесь для	1	1
281	в другой	1	1
282	как это	7	1
283	бы сам	1	1
284	те или	1	1
285	не думает	1	1
286	что такое	3	1
287	к тем	1	1
288	то мы	5	1
289	она создает	1	1
290	только на	1	1
291	или иные	2	1
292	об этом	5	1
293	вступает в	1	1
294	мы определяем	2	1
295	остановиться на	1	1
296	не приходится	1	1
297	никто не	4	1
298	сюда относятся	2	1
299	и что	3	1
300	может происходить	1	1
301	и определяет	1	1
302	на самом	4	1
303	в различных	2	1
304	и тот	2	1
305	можно было	4	1
306	язык есть	1	1
307	в этой	3	1
308	для данного	1	1
309	исследователя но	1	1
310	включается в	1	1
311	иметь в	1	1
312	в начале	3	1
313	ни одна	4	1
314	во все	1	1
315	в виду	1	1
316	в нашей	1	1
317	к другому	2	1
318	и до	1	1
319	и есть	3	1
320	подобно тому	6	1
321	уже видели	2	1
322	но это	6	1
323	не вполне	1	1
324	в совершенно	2	1
325	этот вопрос	4	1
326	функции в	1	1
327	они хотят	1	1
328	вспомнить о	1	1
329	же время	1	1
330	лишь как	1	1
331	и иных	2	1
332	его в	4	1
333	которую он	1	1
334	со всеми	1	1
335	или как	1	1
336	как то	2	1
337	а на	3	1
338	работы и	1	1
339	эти функции	2	1
340	всего дает	1	1
341	или иное	1	1
342	однако если	1	1
343	форм мы	1	1
344	ко второму	1	1
345	когда мы	1	1
346	и изучение	3	1
347	связи с	12	1
348	если не	1	1
349	же не	1	1
350	этой точки	1	1
351	что касается	1	1
